State,City,Borough,Zipcode,Latitude,Longitude,Location,num_calls
NY,NEW YORK,MANHATTAN,10011.0,40.73915309,-74.00112587,Club/Bar/Restaurant,76
NY,NEW YORK,MANHATTAN,10016.0,40.74195612,-73.97792905,Club/Bar/Restaurant,13
NY,NEW YORK,MANHATTAN,10038.0,40.70607594,-74.0042019,Club/Bar/Restaurant,17
NY,,BROOKLYN,11211.0,40.71286133,-73.95712905,Club/Bar/Restaurant,34
NY,NEW YORK,MANHATTAN,10016.0,40.743596,-73.98600864,Club/Bar/Restaurant,40
NY,,BROOKLYN,11208.0,40.67462684,-73.87725059,Club/Bar/Restaurant,19
NY,NEW YORK,MANHATTAN,10034.0,40.86941776,-73.91657993,Club/Bar/Restaurant,28
NY,,BROOKLYN,11217.0,40.68035203,-73.97476588,Club/Bar/Restaurant,114
NY,NEW YORK,MANHATTAN,10034.0,40.86385196,-73.92523119,Club/Bar/Restaurant,194
NY,ASTORIA,QUEENS,11105.0,40.77596729,-73.91512641,Club/Bar/Restaurant,82
NY,ASTORIA,QUEENS,11106.0,40.76227854,-73.92601303,Club/Bar/Restaurant,87
NY,NEW YORK,MANHATTAN,10012.0,40.72670835,-74.00275643,Club/Bar/Restaurant,14
NY,,BROOKLYN,11223.0,40.59916024,-73.96126399,Club/Bar/Restaurant,45
NY,NEW YORK,MANHATTAN,10009.0,40.73029441,-73.98223737,Club/Bar/Restaurant,66
NY,NEW YORK,MANHATTAN,10022.0,40.75686026,-73.96709552,Club/Bar/Restaurant,44
NY,NEW YORK,MANHATTAN,10011.0,40.73913663,-74.00108618,Club/Bar/Restaurant,49
NY,NY,MANHATTAN,10002.0,40.71522127,-73.99171409,Club/Bar/Restaurant,184
NY,,BROOKLYN,11205.0,40.69332462,-73.96710163,Club/Bar/Restaurant,108
NY,,BROOKLYN,11226.0,40.6395296,-73.95128856,Club/Bar/Restaurant,287
NY,,BROOKLYN,11218.0,40.63555239,-73.97802189,Club/Bar/Restaurant,55
NY,NEW YORK,MANHATTAN,10030.0,40.81726755,-73.9422565,Club/Bar/Restaurant,120
NY,NEW YORK,MANHATTAN,10009.0,40.72894882,-73.97836993,Club/Bar/Restaurant,62
NY,,BROOKLYN,11205.0,40.69355175,-73.96476476,Club/Bar/Restaurant,16
NY,NEW YORK,MANHATTAN,10014.0,40.73434974,-74.00300933,Club/Bar/Restaurant,301
NY,NEW YORK,MANHATTAN,10024.0,40.78536042,-73.97298193,Club/Bar/Restaurant,186
NY,,BROOKLYN,11205.0,40.69313307,-73.96920047,Club/Bar/Restaurant,75
NY,NEW YORK,MANHATTAN,10003.0,40.7296035,-73.98823774,Club/Bar/Restaurant,183
NY,BRONX,BRONX,10464.0,40.85256252,-73.78944935,Club/Bar/Restaurant,12
NY,,BROOKLYN,11209.0,40.63283667,-74.02723013,Club/Bar/Restaurant,70
NY,ASTORIA,QUEENS,11106.0,40.76115165,-73.92364989,Club/Bar/Restaurant,42
NY,NEW YORK,MANHATTAN,10034.0,40.8658736,-73.92765489,Club/Bar/Restaurant,126
NY,FLUSHING,QUEENS,11355.0,40.75548196,-73.81543034,Club/Bar/Restaurant,16
NY,HOWARD BEACH,QUEENS,11414.0,40.64998168,-73.83758618,Club/Bar/Restaurant,399
NY,,BROOKLYN,11209.0,40.62204852,-74.03163848,Club/Bar/Restaurant,15
NY,,BROOKLYN,11205.0,40.69357091,-73.96460248,Club/Bar/Restaurant,36
NY,NEW YORK,MANHATTAN,10038.0,40.70586461,-74.00376907,Club/Bar/Restaurant,20
NY,OZONE PARK,QUEENS,11416.0,40.68555676,-73.84149102,Club/Bar/Restaurant,32
NY,,BROOKLYN,11226.0,40.64595269,-73.95197214,Club/Bar/Restaurant,42
NY,BRONX,BRONX,10463.0,40.87959654,-73.90430103,Club/Bar/Restaurant,17
NY,NEW YORK,MANHATTAN,10036.0,40.7602542,-73.98904452,Club/Bar/Restaurant,11
NY,,BROOKLYN,11226.0,40.63980683,-73.95130637,Club/Bar/Restaurant,26
NY,,BROOKLYN,11215.0,40.66071028,-73.99409972,Club/Bar/Restaurant,30
NY,,BROOKLYN,11249.0,40.72100987,-73.95542824,Club/Bar/Restaurant,102
NY,LONG ISLAND CITY,QUEENS,11101.0,40.75624515,-73.92120466,Club/Bar/Restaurant,129
NY,,BROOKLYN,11201.0,40.68689522,-73.99090992,Club/Bar/Restaurant,23
NY,FLUSHING,QUEENS,11358.0,40.75803956,-73.79561736,Club/Bar/Restaurant,15
NY,JACKSON HEIGHTS,QUEENS,11372.0,40.75578209,-73.883331,Club/Bar/Restaurant,57
NY,NEW YORK,MANHATTAN,10001.0,40.75045253,-73.98729207,Club/Bar/Restaurant,15
NY,BRONX,BRONX,10471.0,40.88956351,-73.89903879,Club/Bar/Restaurant,16
NY,NEW YORK,MANHATTAN,10022.0,40.7581599,-73.9625937,Club/Bar/Restaurant,92
NY,NEW YORK,MANHATTAN,10029.0,40.79578676,-73.94676079,Club/Bar/Restaurant,11
NY,,BROOKLYN,11217.0,40.67915413,-73.98342993,Club/Bar/Restaurant,1513
NY,NEW YORK,MANHATTAN,10026.0,40.80285303,-73.95650039,Club/Bar/Restaurant,91
NY,NEW YORK,MANHATTAN,10012.0,40.72951901,-73.99981238,Club/Bar/Restaurant,120
NY,BRONX,BRONX,10454.0,40.80746061,-73.919309,Club/Bar/Restaurant,76
NY,NEW YORK,MANHATTAN,10003.0,40.73321576,-73.98992216,Club/Bar/Restaurant,65
NY,NEW YORK,MANHATTAN,10009.0,40.72386918,-73.98388421,Club/Bar/Restaurant,40
NY,NEW YORK,MANHATTAN,10009.0,40.72277419,-73.98517963,Club/Bar/Restaurant,26
NY,,BROOKLYN,11237.0,40.70279083,-73.92937189,Club/Bar/Restaurant,21
NY,,BROOKLYN,11215.0,40.67301996,-73.98651012,Club/Bar/Restaurant,19
NY,,BROOKLYN,11209.0,40.62986376,-74.02845743,Club/Bar/Restaurant,15
